song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,track_popularity
Torn - KREAM Remix,Ava Max,0.742,0.864,0,-5.06,1,0.0976,0.00141,0.00467,0.241,60
Quite Miss Home - Steve Void Remix,James Arthur,0.716,0.815,10,-4.121,1,0.0533,0.108,0.0,0.163,60
Love Me Less (feat. Quinn XCII) - Party Pupils Remix,MAX,0.748,0.831,1,-5.029,1,0.115,0.0823,7.36e-05,0.0757,55
Happier - Matt Medved Remix,Marshmello,0.816,0.833,5,-5.972,1,0.0511,0.126,9.09e-06,0.0625,59
Side Effects - Fedde Le Grand Remix,The Chainsmokers,0.633,0.854,0,-4.046,0,0.0432,0.0382,2.83e-05,0.434,63
Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],ILLENIUM,0.563,0.81,2,-2.921,1,0.0522,0.00522,0.0,0.0846,67
Paradise - Bazzi vs. Black Caviar Remix,Bazzi vs.,0.728,0.815,11,-2.878,0,0.046,0.00223,0.000317,0.101,55
White Mercedes - EDX's Miami Sunset Remix,Charli XCX,0.846,0.773,5,-3.503,1,0.0473,0.0141,2.23e-05,0.204,56
Higher Love,Kygo,0.693,0.678,8,-7.159,1,0.0324,0.0154,6.05e-06,0.101,87
Unlove You,Armin van Buuren,0.678,0.928,3,-3.66,0,0.0597,0.0303,3.33e-05,0.143,62
bad guy (with Justin Bieber),Billie Eilish,0.67,0.453,0,-11.265,1,0.295,0.252,0.33,0.117,83
Freaking Me Out - Keanu Silva Remix,Ava Max,0.755,0.931,1,-4.104,0,0.0606,0.132,0.0271,0.0854,55
Heaven Can Wait - The Aston Shuffle Remix,Sia,0.622,0.859,5,-7.626,1,0.0636,0.000609,0.746,0.0909,61
When It Comes To You - Benny Benassi & BB Team Remix,Sean Paul,0.789,0.893,10,-4.364,0,0.168,0.0538,0.0,0.221,56
Gone - The Wild Remix,Charli XCX,0.64,0.838,6,-4.203,1,0.0416,0.0588,1.99e-05,0.0424,57
American Boy - Brooks Remix,Estelle,0.609,0.764,5,-4.564,0,0.111,0.0994,0.0,0.197,56
Million Pieces - M-22 Remix,Bastille,0.64,0.992,4,-3.318,0,0.0585,0.0832,0.0083,0.109,53
joy. (R3HAB Remix),for KING & COUNTRY,0.75,0.81,0,-4.607,0,0.0572,0.0917,1.59e-05,0.111,56
Crash Into Me - Settle Down Steavis Aoki Remix,Steve Aoki,0.535,0.956,1,-2.996,0,0.0343,0.000609,0.0109,0.262,34
Old Town Road - Diplo Remix,Lil Nas X,0.766,0.771,6,-9.108,1,0.0576,0.00407,3.76e-06,0.113,74
Lovers + Strangers - GATTÜSO Remix,Starley,0.649,0.821,10,-4.952,0,0.0472,0.017,0.000347,0.0655,46
Promises (with Sam Smith) - David Guetta Remix,Calvin Harris,0.588,0.697,3,-4.744,0,0.0372,0.186,0.000219,0.103,63
Flames (with ZAYN) - R3HAB & Skytech VIP Remix,R3HAB,0.355,0.789,5,-4.358,0,0.165,0.0148,0.0,0.0355,55
What Am I - SONDR Remix,Why Don't We,0.542,0.84,0,-5.283,0,0.0419,0.0336,8.45e-05,0.277,52
Cool Kids,Olympis,0.735,0.5,8,-11.297,1,0.0511,0.415,3.12e-05,0.13,67
Loco Contigo (with J. Balvin & Tyga) - Cedric Gervais Remix,DJ Snake,0.752,0.84,6,-4.451,0,0.0373,0.00486,0.0109,0.0916,63
All Star - Breathe Carolina Remix,Smash Mouth,0.748,0.903,3,-5.877,0,0.0385,0.0324,0.0,0.106,60
Trampoline - Dave Audé Remix,SHAED,0.607,0.955,7,-3.613,0,0.102,0.0163,0.121,0.0725,45
Stay (Don't Go Away) [feat. Raye] - Mark Knight Remix,David Guetta,0.607,0.995,9,-2.325,0,0.0487,0.0921,0.002,0.0445,58
With You - Dexter Remix,Kaskade,0.679,0.786,1,-6.918,0,0.132,0.119,5.89e-06,0.224,51
Safety (feat. DJ Snake) - Dark Heart 2am Mix,GASHI,0.714,0.801,5,-5.8,0,0.0301,0.0204,0.00615,0.334,58
Beautiful (feat. Camila Cabello) - Bazzi vs. EDX's Ibiza Sunrise Remix,Bazzi vs.,0.69,0.862,2,-4.154,1,0.0944,0.0611,1.85e-05,0.238,56
Talk - Disclosure VIP,Khalid,0.775,0.867,4,-7.388,0,0.204,0.0158,0.0117,0.0355,60
Spicy - Majestic Remix,Herve Pagez,0.814,0.838,11,-5.547,1,0.0763,0.001,0.0223,0.0185,48
Don't Leave Me Lonely (feat. Yebba) - Claptone Remix,Mark Ronson,0.784,0.779,8,-5.48,1,0.0387,0.0357,0.025,0.0245,56
Treehouse - R3HAB Remix,James Arthur,0.367,0.783,6,-4.504,1,0.154,0.00515,0.0,0.0545,56
Hearts Ain't Gonna Lie - Eden Prince Remix,Arlissa,0.609,0.83,6,-3.759,0,0.0793,0.201,6.18e-05,0.0321,65
Call You Mine,The Chainsmokers,0.591,0.702,7,-5.59,1,0.0289,0.225,0.0,0.414,39
Post Malone (feat. RANI),Sam Feldt,0.59,0.642,7,-3.87,1,0.122,0.0771,0.0,0.105,83
Here With Me,Marshmello,0.791,0.565,5,-3.933,0,0.0439,0.0623,0.0,0.156,83
Easier - Seeb Remix,5 Seconds of Summer,0.564,0.747,5,-3.374,1,0.0584,0.0728,0.0,0.151,71
Sixteen,Ellie Goulding,0.669,0.801,8,-5.445,1,0.136,0.268,0.0,0.0594,81
Never Really Over,Katy Perry,0.77,0.882,8,-4.792,1,0.0602,0.194,0.0,0.316,85
All You Need To Know (feat. Calle Lehmann),Gryffin,0.513,0.788,0,-4.629,1,0.0364,0.00968,0.0,0.11,76
I Miss Myself (with HRVY),NOTD,0.72,0.864,0,-3.249,1,0.208,0.0856,0.0,0.16,71
South of the Border (feat. Camila Cabello & Cardi B) - Sam Feldt Remix,Ed Sheeran,0.789,0.858,5,-4.388,1,0.0404,0.22,4.58e-05,0.335,65
Takeaway (feat. Lennon Stella),The Chainsmokers,0.294,0.505,3,-8.106,1,0.042,0.12,0.0,0.0977,67
All the Time,Zara Larsson,0.665,0.799,6,-2.868,0,0.0617,0.18,0.0,0.125,74
What I Like About You (feat. Theresa Rex),Jonas Blue,0.46,0.8,1,-3.584,1,0.05,0.289,6.16e-06,0.121,81
With You,Kaskade,0.362,0.921,1,-3.815,0,0.486,0.123,0.0,0.19,71
Body Back (feat. Maia Wright),Gryffin,0.686,0.83,8,-4.437,1,0.0369,0.0948,1.33e-06,0.182,75
Not Ok,Kygo,0.618,0.66,11,-8.14,0,0.0372,0.0292,2.07e-06,0.325,73
Ruin My Life,Zara Larsson,0.665,0.699,11,-5.265,1,0.0578,0.423,0.0,0.0969,79
I Wanna Know (feat. Bea Miller),NOTD,0.661,0.725,6,-4.859,1,0.0563,0.0253,0.0,0.123,74
Better With You,3LAU,0.571,0.752,3,-4.872,1,0.0293,0.0196,6.92e-05,0.114,63
"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo,0.591,0.705,9,-6.519,0,0.079,0.381,0.000116,0.131,79
Polaroid,Jonas Blue,0.652,0.898,7,-4.481,0,0.0361,0.29,0.0,0.073,16
Lost In Japan - Remix,Shawn Mendes,0.706,0.855,10,-5.377,1,0.215,0.0911,0.0,0.347,75
In Your Arms (with X Ambassadors),ILLENIUM,0.404,0.806,2,-4.75,1,0.0496,0.198,0.0,0.114,75
I'm Not Alright,Loud Luxury,0.876,0.856,4,-3.884,1,0.0486,0.0812,1.29e-06,0.457,55
SOS,Avicii,0.802,0.645,5,-6.181,0,0.0715,0.272,0.0,0.119,30
Harder,Jax Jones,0.906,0.832,5,-3.004,0,0.0718,0.0909,0.0,0.152,62
The Middle,Zedd,0.753,0.657,7,-3.061,1,0.0449,0.171,0.0,0.112,84
Wanted,NOTD,0.693,0.674,5,-4.449,1,0.0723,0.185,0.0,0.0639,70
Crash Into Me,Steve Aoki,0.672,0.815,1,-6.476,0,0.0981,0.00246,0.0,0.577,37
Need Your Love (with Noah Kahan),Gryffin,0.581,0.76,0,-3.962,1,0.0406,0.16,0.0,0.183,70
Good Things Fall Apart (with Jon Bellion),ILLENIUM,0.643,0.594,2,-5.453,1,0.0318,0.0128,0.0,0.118,74
Don't Call Me Up,Mabel,0.674,0.881,9,-2.853,1,0.147,0.296,3.01e-06,0.0793,85
Nostalgic,A R I Z O N A,0.691,0.538,0,-9.952,1,0.103,0.246,0.163,0.178,36
Let It Be Me,Steve Aoki,0.661,0.758,7,-5.299,1,0.0864,0.0797,0.0,0.106,52
Lovers + Strangers,Starley,0.653,0.69,1,-5.003,1,0.0756,0.109,0.0,0.136,58
Sad Song (feat. TINI),Alesso,0.734,0.693,0,-6.474,1,0.0361,0.0878,0.0,0.341,72
Sleepless Nights,ayokay,0.663,0.696,11,-5.994,1,0.0349,0.0563,6.25e-06,0.226,64
Save Me Tonight,ARTY,0.55,0.899,5,-3.284,0,0.0458,0.0113,9.65e-05,0.137,63
Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,0.703,0.868,7,-4.661,0,0.0291,0.15,0.132,0.104,77
No Sleep (feat. Bonn),Martin Garrix,0.44,0.635,11,-6.385,1,0.0326,0.129,0.0,0.121,76
Feel Good (feat. Daya),Gryffin,0.625,0.707,2,-4.761,1,0.0337,0.22,0.0,0.213,74
Endless Summer,Cashae,0.625,0.719,4,-5.541,1,0.0612,0.048,0.0,0.0668,56
Faith (with Dolly Parton) [feat. Mr. Probz],Galantis,0.547,0.795,8,-3.721,1,0.0489,0.145,0.0,0.11,77
Think About You,Kygo,0.673,0.596,10,-7.891,1,0.0354,0.166,0.0,0.11,71
Party For One,Carly Rae Jepsen,0.699,0.633,6,-6.547,1,0.0362,0.0453,0.0,0.101,64
Ritual,Tiësto,0.647,0.726,3,-4.389,0,0.0552,0.157,0.0,0.0844,82
Electricity (with Dua Lipa),Silk City,0.588,0.67,0,-6.439,1,0.0473,0.0104,3.33e-06,0.338,81
Lie,Shallou,0.655,0.427,2,-11.684,0,0.0799,0.295,0.00108,0.0788,41
I Found You (with Calvin Harris),benny blanco,0.79,0.865,6,-4.159,1,0.0438,0.0264,0.0892,0.24,62
Now That I Found You,Carly Rae Jepsen,0.611,0.737,0,-5.154,0,0.0476,0.0145,0.0,0.107,5
All Comes Back To You,R3HAB,0.726,0.763,4,-6.872,1,0.0882,0.524,2.64e-06,0.0943,72
Need U,DVBBS,0.714,0.705,10,-6.479,1,0.0995,0.292,0.000386,0.126,24
First Love,Lost Kings,0.619,0.938,5,-5.245,1,0.35,0.0257,1.39e-05,0.128,58
Something Real,Armin van Buuren,0.575,0.808,1,-4.578,1,0.0439,0.0446,0.0,0.0693,65
TIME,Alesso,0.768,0.808,5,-1.818,1,0.112,0.00627,5.33e-06,0.343,64
Something About You (with Rudimental),Elderbrook,0.767,0.605,6,-5.737,0,0.188,0.559,0.000363,0.193,53
Home (feat. Bonn),Martin Garrix,0.466,0.612,8,-4.855,0,0.0307,0.0655,4.07e-06,0.132,72
Simple (STVW Remix),FANNYPACK,0.434,0.917,9,-3.613,0,0.0633,0.301,1.8e-05,0.289,39
Sorry,Joel Corry,0.744,0.79,8,-4.617,0,0.0562,0.0547,0.000802,0.32,75
Spicy (with Diplo & Charli XCX),Herve Pagez,0.837,0.818,8,-4.474,0,0.0533,0.0527,0.00642,0.11,60
The Upside (feat. Elle King),Lindsey Stirling,0.514,0.856,2,-4.285,1,0.0717,0.00123,6.34e-06,0.544,18
Stay,Zedd,0.69,0.622,5,-5.025,0,0.0622,0.253,0.0,0.116,79
Million Voices,Armin van Buuren,0.466,0.869,3,-4.275,1,0.0529,0.0142,0.00241,0.115,60
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,0.842,0.801,8,-4.167,0,0.228,0.157,4.82e-06,0.0642,83
Closer (feat. Halsey),The Chainsmokers,0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,85
Say My Name (feat. Zyra) - RAC Mix,ODESZA,0.647,0.624,9,-8.446,1,0.0451,0.025,0.056,0.0616,47
Clarity,Zedd,0.509,0.781,8,-3.48,1,0.072,0.0398,0.0,0.0749,74
Solo (feat. Demi Lovato),Clean Bandit,0.737,0.636,11,-4.546,0,0.0437,0.0441,6.66e-05,0.35,80
Scared to Be Lonely,Martin Garrix,0.584,0.54,1,-7.786,0,0.0576,0.0895,0.0,0.261,81
Friends (with BloodPop®),Justin Bieber,0.743,0.733,8,-5.337,1,0.0375,0.00402,0.0,0.304,76
RITMO (Bad Boys For Life),The Black Eyed Peas,0.721,0.716,10,-7.037,0,0.0657,0.0334,0.00084,0.237,96
Promises (with Sam Smith),Calvin Harris,0.781,0.768,11,-5.991,1,0.0394,0.0119,4.91e-06,0.325,84
Turn Me On (feat. Vula),Riton,0.737,0.828,11,-4.711,1,0.0396,0.0149,0.000583,0.0862,86
Light,San Holo,0.57,0.763,1,-4.137,1,0.0573,0.0857,2.49e-06,0.0932,68
2U,David Guetta,0.551,0.651,8,-5.828,0,0.0594,0.225,0.0,0.224,66
Something Just Like This,The Chainsmokers,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,83
One Kiss (with Dua Lipa),Calvin Harris,0.791,0.862,9,-3.24,0,0.11,0.037,2.19e-05,0.0814,85
Heroes (we could be),Alesso,0.503,0.748,5,-4.124,1,0.0619,0.0305,0.0,0.343,73
It Ain’t Me (with Selena Gomez),Kygo,0.64,0.533,0,-6.596,1,0.0706,0.119,0.0,0.0864,69
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,0.658,0.677,5,-6.628,1,0.0393,0.248,0.0,0.368,69
Let Me Love You,DJ Snake,0.649,0.716,8,-5.371,1,0.0349,0.0863,2.63e-05,0.135,81
Roses,The Chainsmokers,0.713,0.802,4,-7.055,1,0.0561,0.0435,0.00377,0.309,73
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,0.596,0.738,8,-3.109,1,0.0411,0.109,0.0,0.0947,61
Latch,Disclosure,0.503,0.727,1,-5.456,1,0.167,0.0159,9.45e-05,0.0895,19
Flames,David Guetta,0.609,0.726,5,-4.346,0,0.0414,0.0723,8.45e-06,0.0895,57
Sorry,Justin Bieber,0.654,0.76,0,-3.669,0,0.045,0.0797,0.0,0.299,81
This Is What You Came For,Calvin Harris,0.63,0.928,9,-2.787,0,0.0331,0.199,0.124,0.148,79
Wake Me Up,Avicii,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,84
In My Mind,Dynoro,0.694,0.77,6,-5.335,1,0.149,0.176,1.1e-05,0.118,84
Titanium (feat. Sia),David Guetta,0.604,0.787,0,-3.674,0,0.103,0.0679,0.15,0.127,66
Where Are Ü Now,Skrillex,0.432,0.74,7,-5.053,1,0.062,0.0342,6.59e-06,0.14,8
Firework,Katy Perry,0.638,0.832,8,-5.039,1,0.049,0.141,0.0,0.113,64
Mi Gente (feat. Beyoncé),J Balvin,0.759,0.716,11,-6.36,0,0.0818,0.0223,0.0,0.231,61
Don't You Worry Child - Radio Edit,Swedish House Mafia,0.614,0.832,11,-3.419,0,0.0522,0.11,0.0,0.185,27
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,0.669,0.832,0,-5.72,1,0.0682,0.0106,0.0,0.0968,74
Anything Could Happen,Ellie Goulding,0.702,0.781,0,-4.081,1,0.03,0.433,0.0,0.135,57
Poker Face,Lady Gaga,0.851,0.806,4,-4.618,1,0.0786,0.12,1.33e-06,0.121,69
How Deep Is Your Love,Calvin Harris,0.738,0.868,11,-4.373,0,0.0731,0.0389,0.00171,0.388,77
In Your Eyes (feat. Alida),Robin Schulz,0.57,0.672,8,-5.89,0,0.0723,0.177,0.0,0.0768,74
Wish You Well (with Sigala),Sigala,0.67,0.89,5,-3.785,0,0.0576,0.122,0.0,0.333,5
With You - LöKii Remix,Kaskade,0.708,0.727,9,-7.647,1,0.0389,0.0201,0.676,0.37,57
Dive,Hot Shade,0.654,0.787,4,-4.999,1,0.0502,0.00515,0.0,0.144,68
No Goodbye,Paul Kalkbrenner,0.945,0.584,6,-7.649,0,0.044,0.0955,0.341,0.147,65
Work,MOTi,0.704,0.929,0,-4.447,1,0.0395,0.0395,0.0249,0.181,58
Instagram,Dimitri Vegas & Like Mike,0.765,0.906,8,-2.097,0,0.0965,0.125,0.0,0.423,81
Better Off Without You (feat. Shift K3Y),Becky Hill,0.682,0.855,7,-3.282,1,0.0401,0.0566,1e-06,0.101,68
Butterfly,Molella,0.627,0.662,7,-7.104,0,0.0349,0.0922,0.000166,0.143,43
All The Love You Got,MOTi,0.762,0.736,7,-7.66,1,0.0778,0.135,0.0538,0.113,57
Call You Mine - Asketa & Natan Chaim Remix,The Chainsmokers,0.577,0.844,7,-3.364,1,0.0406,0.00407,6.13e-06,0.499,58
Love Is Not Enough,GATTÜSO,0.632,0.816,8,-4.584,1,0.0349,0.00205,0.106,0.119,58
Lose Control,MEDUZA,0.598,0.526,10,-8.659,0,0.0415,0.129,0.0,0.14,91
I Wanna Dance,Jonas Blue,0.825,0.841,0,-6.433,1,0.135,0.0906,0.00411,0.258,67
After The Landslide - Club Remix,Matt Simons,0.63,0.731,6,-4.985,1,0.0352,0.0191,7.82e-06,0.704,42
Midnight Hour with Boys Noize & Ty Dolla $ign,Skrillex,0.795,0.899,0,-4.202,1,0.0685,0.00235,0.000392,0.199,70
Pon de Replay,Ed Marquis,0.529,0.717,6,-7.049,0,0.24,0.123,0.000707,0.0363,64
So Close,NOTD,0.7,0.872,10,-5.896,1,0.0666,0.121,7.08e-06,0.103,79
Look Into My Eyes,Brando,0.791,0.541,1,-7.14,1,0.054,0.123,4.74e-05,0.121,48
Not in Control,Glaceo,0.904,0.633,0,-5.545,1,0.0958,0.203,0.000266,0.163,53
BLUE,Tiësto,0.744,0.725,11,-6.055,1,0.0303,0.018,9.29e-06,0.212,75
Don't Waste My Time,Kharfi,0.772,0.687,9,-6.348,0,0.211,0.0528,0.0,0.834,46
Beat Of My Heart,Lost Frequencies,0.706,0.524,6,-8.804,1,0.026,0.127,0.00129,0.109,67
Don't Start Now - Kungs Remix,Dua Lipa,0.664,0.699,11,-7.115,0,0.27,0.0352,0.0,0.0612,65
Drunken Truth,Steve Void,0.781,0.745,1,-4.942,0,0.0374,0.0814,9.71e-05,0.106,56
Jacques,Jax Jones,0.789,0.547,9,-8.738,0,0.0748,0.072,9.21e-05,0.0782,42
Something Real,Armin van Buuren,0.575,0.808,1,-4.578,1,0.0439,0.0446,0.0,0.0693,58
Stay (Don't Go Away) [feat. Raye],David Guetta,0.669,0.797,9,-5.68,0,0.0624,0.259,0.0,0.199,74
Solid Gold,PNAU,0.567,0.946,5,-2.245,0,0.0541,0.0978,1.37e-06,0.0836,65
One Life,Mike Perry,0.653,0.757,3,-3.642,1,0.0555,0.0997,0.0,0.242,64
All ‘Bout The Money,FAULHABER,0.721,0.779,6,-4.239,0,0.0606,0.142,0.0,0.143,51
Never Letting Go,Audien,0.534,0.765,1,-3.151,1,0.0338,0.0915,0.00107,0.225,63
Used To Love (with Dean Lewis),Martin Garrix,0.651,0.693,4,-4.722,1,0.0375,0.458,0.0,0.335,83
Giulia,Prince Paris,0.682,0.923,0,-3.273,1,0.0364,0.00395,3e-05,0.242,55
What Do I Do? - Benny Benassi Remix,Georgia Ku,0.66,0.827,10,-5.081,1,0.0789,0.429,0.0,0.0923,39
Dreams Of You (feat. Rae Morris),Icarus,0.57,0.965,6,-4.881,0,0.0348,0.00108,0.523,0.201,48
I Will Let You Down (feat. KLARA),Madison Mars,0.608,0.918,0,-1.137,0,0.0684,0.199,0.0,0.309,59
Carillon (with Achille Lauro),Nahaze,0.561,0.562,9,-11.431,0,0.15,0.062,0.0,0.118,64
La Vie - Gabry Ponte Mix,DJ Ross,0.591,0.88,4,-5.153,0,0.223,0.0804,0.0,0.326,42
Lullaby,R3HAB,0.626,0.8,1,-3.988,0,0.035,0.0267,0.000138,0.0623,70
Say It,Phantoms,0.745,0.8,11,-5.606,0,0.0361,0.0209,0.000479,0.113,57
All This Time,Deorro,0.66,0.857,2,-5.219,1,0.321,0.167,1.36e-05,0.119,21
All You Need To Know (feat. Calle Lehmann),Gryffin,0.53,0.729,0,-6.019,1,0.0376,0.00699,0.0,0.103,68
Acordeão,Tiësto,0.552,0.887,1,-3.812,1,0.147,0.0457,0.0207,0.0903,63
My Friend,Yves V,0.471,0.911,2,-4.372,0,0.0594,0.0316,0.00648,0.571,54
On & On,Alok,0.747,0.776,10,-5.898,0,0.0722,0.0233,1.38e-05,0.761,79
Juliet & Romeo,Martin Solveig,0.712,0.664,11,-8.026,1,0.0345,0.0416,0.000104,0.0668,72
All Around The World (La La La),R3HAB,0.733,0.859,9,-5.03,0,0.033,0.479,0.0645,0.105,80
Are You Lonely (feat. ISÁK),Steve Aoki,0.517,0.793,6,-5.851,0,0.0367,0.0214,0.00046,0.0892,47
No More (feat. Brenda Mullen) - Bottai Edit,Alex Gaudino,0.675,0.674,4,-6.329,1,0.0372,0.00339,8.55e-05,0.279,19
Close Your Eyes,Felix Jaehn,0.818,0.823,11,-3.563,0,0.2,0.0663,1.17e-05,0.133,79
Buzzing (with Nevve),Audien,0.639,0.591,7,-3.905,0,0.0344,0.128,6.69e-06,0.159,59
Never Be Alone (feat. Aloe Blacc),David Guetta,0.535,0.906,6,-4.699,0,0.0353,0.0202,0.000715,0.0886,68
Roses - Imanbek Remix,SAINt JHN,0.784,0.721,8,-5.457,1,0.0506,0.0149,0.00424,0.285,72
Insane,Ofenbach,0.809,0.758,4,-5.658,0,0.101,0.409,0.000544,0.166,66
Daydreams - Sultan + Shepard Echoes Of Life Remix,ARTY,0.669,0.793,1,-6.16,1,0.0403,0.0318,0.0372,0.555,59
Only Want You - Sam Feldt Remix,Rita Ora,0.578,0.786,9,-4.665,1,0.13,0.232,0.000106,0.122,64
Close To Me (with Diplo) (feat. Swae Lee) - Felix Cartal Remix,Ellie Goulding,0.733,0.839,1,-2.84,0,0.0335,0.0145,0.000187,0.162,9
Woke Up Late (feat. Hailee Steinfeld) - Sam Feldt Remix,Drax Project,0.63,0.726,0,-3.753,1,0.0978,0.0717,0.0,0.108,41
South of the Border (feat. Camila Cabello & Cardi B) - Cheat Codes Remix,Ed Sheeran,0.845,0.766,2,-5.727,0,0.0658,0.212,0.0,0.111,69
Not Ok - Frank Walker Remix,Kygo,0.679,0.866,2,-3.754,1,0.0566,0.0337,0.0,0.0688,66
Heaven (feat. Veronica),Dzeko,0.657,0.882,0,-3.565,0,0.0456,0.247,0.00202,0.112,68
Sixteen - Don Diablo Remix,Ellie Goulding,0.493,0.773,5,-3.791,0,0.157,0.429,7.07e-06,0.0807,66
Don’t Give Up On Me Now (with Julie Bergan),R3HAB,0.687,0.706,4,-5.357,1,0.0459,0.091,0.0,0.124,63
Brave,Don Diablo,0.654,0.874,6,-3.885,1,0.0543,0.169,1.77e-06,0.134,68
Let It Be Me,Steve Aoki,0.661,0.758,7,-5.299,1,0.0864,0.0797,0.0,0.106,23
Carry On - Nicky Romero Remix,Kygo,0.447,0.684,9,-4.721,0,0.09,0.175,0.0,0.478,67
